Constructions,Weather,Natural-Disasters,Earthquake,Listing ID,Address,Square Footage,Property Type,Listing Date,Description,Agent Contact Info,Seller's Notes,Property History,Location,Price
RCC,Hot and Humid,None,False,100001,"1234, Shanti Niketan Road, Kolkata-700009",1500,Apartment,2013-06-15,A spacious 3-bedroom apartment located in the heart of Kolkata's Shanti Niketan area. The apartment comes with modern amenities and is surrounded by lush greenery. The building is RCC and has been earthquake-resistant certified. Contact us for a viewing.,"9876543210, abc.realty@gmail.com",The apartment was previously owned by a retired professor and has been well-maintained. The seller is relocating to Bangalore for work.,The apartment was listed for sale in 2013 and was sold within 2 months to a local buyer. The price remained consistent with the market trends.,"Kolkata, India",2500000
Brick,Hot and Humid,Floods,False,100002,"5678, Jadavpur Road, Kolkata-700033",1200,Villa,2014-11-20,A beautiful 2-bedroom villa located in the Jadavpur area of Kolkata. The villa comes with a private garden and is surrounded by lush greenery. The building is brick and has been flood-resistant certified. Contact us for a viewing.,"9876543211, xyz.realty@gmail.com",The villa was previously owned by a retired doctor and has been well-maintained. The seller is relocating to Mumbai for work.,The villa was listed for sale in 2014 and was sold within 3 months to a local buyer. The price remained consistent with the market trends.,"Kolkata, India",1800000
Concrete,Hot and Humid,None,True,100003,"9012, Park Circus, Kolkata-700001",1800,Apartment,2015-03-12,A luxurious 3-bedroom apartment located in the upscale Park Circus area of Kolkata. The apartment comes with modern amenities and is earthquake-resistant certified. Contact us for a viewing.,"9876543212, pqr.realty@gmail.com",The apartment was previously owned by a businessman and has been well-maintained. The seller is relocating to Delhi for work.,The apartment was listed for sale in 2015 and was sold within 2 months to a local buyer. The price remained consistent with the market trends.,"Kolkata, India",3500000
RCC,Hot and Humid,None,False,100004,"3456, Rabindra Sarani, Kolkata-700005",1000,Studio Apartment,2016-07-01,A cozy studio apartment located in the cultural hub of Rabindra Sarani. The apartment comes with basic amenities and is surrounded by heritage sites. The building is RCC and has been earthquake-resistant certified. Contact us for a viewing.,"9876543213, stu.realty@gmail.com",The apartment was previously owned by a student and has been well-maintained. The seller is relocating to Hyderabad for work.,The apartment was listed for sale in 2016 and was sold within 1 month to a local buyer. The price remained consistent with the market trends.,"Kolkata, India",1200000
Brick,Hot and Humid,Floods,False,100005,"7890, Deshapriya Park, Kolkata-700016",1400,Penthouse,2017-02-15,A stunning 4-bedroom penthouse located in the prime Deshapriya Park area of Kolkata. The penthouse comes with a private terrace and is surrounded by lush greenery. The building is brick and has been flood-resistant certified. Contact us for a viewing.,"9876543214, def.realty@gmail.com",The penthouse was previously owned by a retired couple and has been well-maintained. The seller is relocating to Chennai for work.,The penthouse was listed for sale in 2017 and was sold within 4 months to a local buyer. The price remained consistent with the market trends.,"Kolkata, India",4000000
Concrete,Hot and Humid,None,True,100006,"1234, Alipore, Kolkata-700025",2000,Apartment,2018-06-01,A spacious 4-bedroom apartment located in the upscale Alipore area of Kolkata. The apartment comes with modern amenities and is earthquake-resistant certified. Contact us for a viewing.,"9876543215, ghi.realty@gmail.com",The apartment was previously owned by a businessman and has been well-maintained. The seller is relocating to Bangalore for work.,The apartment was listed for sale in 2018 and was sold within 2 months to a local buyer. The price remained consistent with the market trends.,"Kolkata, India",5000000
New,Tropical Monsoon,Cyclone Amphan (2020),,KL-001002,"123, Rajarhat New Town, Kolkata",1200,Apartment,2021-01-01,Brand new apartment in the heart of Kolkata's bustling Rajarhat New Town. Enjoy modern amenities and close proximity to shopping and dining. Built with earthquake-resistant materials.,"9876543210, john.doe@realty.com","Moving abroad for work, selling this property at a great price!",Purchased in 2019 for INR 1200000. Renting for 6 months at INR 20000 per month.,"Kolkata, West Bengal, India",1350000
New,Moderate,None,0.0,100001,"56/1 A, Park Street, Kolkata",2500,Apartment,2015-06-01,"Spacious 3 BHK apartment in the heart of Kolkata, near Maidan. Offering modern amenities and a serene environment. Contact for viewing.","John Doe, 9876543210, johndoe@email.com",Well-maintained unit with regular maintenance. Lift available. No parking space.,Sold in 2019 for INR 5000000. Current market price estimated at INR 6000000.,Central Kolkata,6000000
Old,Hot,Flood,0.5,100002,"34, Jadavpur Road, Kolkata",1200,Villa,2016-12-15,Historic 2 BHK villa in Jadavpur. Renovated with modern facilities. Contact for more details.,"Smitha Johnson, 7894561230, smitha@email.com",Needs minor repairs. Good investment opportunity. Proximity to schools and hospitals.,Sold in 2010 for INR 3500000. Current market price estimated at INR 4500000.,South Kolkata,4500000
New,Mild,None,0.0,100003,"12, Rashbehari Avenue, Kolkata",3000,Penthouse,2017-08-20,Luxury 4 BHK penthouse in Alipore. Offering breathtaking views and premium amenities. Contact for viewing.,"Rajesh Patel, 6543217890, rajesh@email.com",Well-maintained unit with regular maintenance. Two parking spaces included.,Sold in 2014 for INR 10000000. Current market price estimated at INR 12000000.,East Kolkata,12000000
Old,Cold,None,0.0,100004,"8, Jodhpur Park, Kolkata",1500,Apartment,2018-02-25,Cozy 2 BHK apartment in Jodhpur Park. Renovated with modern facilities. Contact for more details.,"Maria Rodriguez, 9012345678, maria@email.com",Good condition. Proximity to schools and colleges.,Sold in 2016 for INR 4000000. Current market price estimated at INR 5000000.,North Kolkata,5000000
New,Moderate,None,0.0,100005,"45, Ballygunge, Kolkata",2000,Villa,2019-07-10,Spacious 3 BHK villa in Ballygunge. Offering modern amenities and a serene environment. Contact for viewing.,"Lena Nguyen, 8765432190, lenanguyen@email.com",Well-maintained unit with regular maintenance. Lift available. Parking space included.,Sold in 2017 for INR 6500000. Current market price estimated at INR 8000000.,Central Kolkata,8000000
Old,Hot,None,0.0,100006,"78, Kasba, Kolkata",1800,Apartment,2018-09-12,Historic 3 BHK apartment in Kasba. Renovated with modern facilities. Contact for more details.,"Hiroshi Tanaka, 2134567890, hiroshi@email.com",Good condition. Proximity to schools and hospitals.,Sold in 2015 for INR 5500000. Current market price estimated at INR 7000000.,South Kolkata,7000000
New,Mild,None,0.0,100007,"36, Tollygunge, Kolkata",2500,Penthouse,2020-03-22,Luxury 4 BHK penthouse in Tollygunge. Offering breathtaking views and premium amenities. Contact for viewing.,"Sophia Ahmed, 6543217890, sophia@email.com",Well-maintained unit with regular maintenance. Two parking spaces included.,Sold in 2018 for INR 9000000. Current market price estimated at INR 11000000.,East Kolkata,11000000
New,Tropical Monsoon,"Cyclones, Floods",,KL12345,"123, Park St, Kolkata, 700012",1500,Apartment,2021-05-01,"Spacious 3-bedroom apartment with balcony, in a gated community, close to schools and markets. New construction with modern amenities.","John Doe, john.doe@realty.com, 9876543210",Selling due to relocation. Fully furnished. Price negotiable.,Bought in 2015 for INR 10 lakhs. Recent renovation cost INR 2 lakhs. Price now INR 22 lakhs.,"Ballygunge, Kolkata",2200000
New,Moderate,None,Mild,100002,"123, Ballygunge Circular Road, Kolkata",1500,Apartment,2012-01-01,"A spacious 3-bedroom apartment in Ballygunge, Kolkata, with modern amenities and excellent connectivity. Open-plan living room and dining area with large windows. Well-equipped kitchen. Three bathrooms with modern fittings. Balcony offering city views. 1500 sq ft. Built-in wardrobes. 24/7 security. Proximity to schools, hospitals, and shopping malls. Price: INR 45 lakhs.","John Doe, johndoe@example.com, +91 123 456 7890",Owned the property since 2012. Excellent rental potential. Price negotiable.,Bought in 2012 for INR 35 lakhs. Rented out for INR 30000 per month. Current market value: INR 45 lakhs.,Ballygunge,4500000
Renovated,Hot,None,None,100003,"456, Deshapran Shaha Road, Kolkata",1000,Villa,2013-06-15,"A charming 2-bedroom villa in the heart of Kolkata, renovated in 2020 with modern amenities. Spacious living room with high ceilings. Dining area with a large table. Open kitchen with granite countertops. Two bathrooms with modern fittings. Backyard with a private swimming pool. 1000 sq ft. Solar panels for energy efficiency. Proximity to parks, schools, and hospitals. Price: INR 75 lakhs.","Jane Smith, janesmith@example.com, +91 234 567 8901",Owned the property since 2013. Excellent rental potential. Price negotiable.,Bought in 2013 for INR 60 lakhs. Rented out for INR 45000 per month. Current market value: INR 75 lakhs.,Gariahat,7500000
Old,Moderate,None,Mild,100004,"789, Park Circus, Kolkata",1200,Bungalow,2014-02-28,"A historic 3-bedroom bungalow in the upscale Park Circus area, Kolkata, with classic architectural design. Spacious living room with high ceilings and wooden floors. Dining room with a large table. Fully-equipped kitchen. Three bathrooms with vintage fittings. Private garden with a pond. 1200 sq ft. Proximity to heritage sites, museums, and shopping districts. Price: INR 1.5 crores.","Robert Johnson, robertjohnson@example.com, +91 345 678 9012",Owned the property since 2014. Excellent rental potential. Price negotiable.,Bought in 2014 for INR 1 crore. Rented out for INR 80000 per month. Current market value: INR 1.5 crores.,Park Circus,15000000
New,Hot,None,None,100005,"321, Tollygunge Circular Road, Kolkata",1800,Apartment,2015-09-10,"A spacious 4-bedroom apartment in Tollygunge, Kolkata, with modern amenities and excellent connectivity. Open-plan living room and dining area with large windows. Well-equipped kitchen. Four bathrooms with modern fittings. Balcony offering city views. 1800 sq ft. Built-in wardrobes. 24/7 security. Proximity to schools, hospitals, and shopping malls. Price: INR 85 lakhs.","Emily Davis, emilydavis@example.com, +91 456 789 0123",Owned the property since 2015. Excellent rental potential. Price negotiable.,Bought in 2015 for INR 70 lakhs. Rented out for INR 60000 per month. Current market value: INR 85 lakhs.,Tollygunge,8500000
Renovated,Moderate,None,None,100006,"567, Ballygunge Circular Road, Kolkata",1500,Villa,2016-01-05,"A beautiful 3-bedroom villa in Ballygunge, Kolkata, renovated in 2019 with modern amenities. Spacious living room with high ceilings. Dining area with a large table. Open kitchen with granite countertops. Three bathrooms with modern fittings. Backyard with a private swimming pool. 1500 sq ft. Solar panels for energy efficiency. Proximity to parks, schools, and hospitals. Price: INR 80 lakhs.","Oliver Chen, oliverchen@example.com, +91 567 890 1234",Owned the property since 2016. Excellent rental potential. Price negotiable.,Bought in 2016 for INR 65 lakhs. Rented out for INR 50000 per month. Current market value: INR 80 lakhs.,Ballygunge,8000000
Modern,Tropical Wet and Dry,"Flooding, Cyclones",False,202300001,"123, Jawaharlal Nehru Road, Kolkata 700014, West Bengal, India",1200,Apartment,2023-03-15,"Brand new 2-bedroom apartment in Kolkata's prime district. Modern construction with ample natural light and ventilation. Amenities include a rooftop garden, gym, and parking. No flooding or earthquake damage reported. Contact listing agent for more information.","John Doe, johndoe@example.com, 9876543210",Seller is relocating abroad and selling this property. Offers above asking price will be considered.,"Listed on March 15, 2023, with an initial price of $300000. Offers have been received, but none have been accepted. Recent open houses have attracted significant interest.","Kolkata, West Bengal, India",$300000
Vintage,Tropical Wet and Dry,"Flooding, Cyclones",False,202300002,"456, Deshapran Shaha Avenue, Kolkata 700026, West Bengal, India",1500,House,2023-03-14,Historic 3-bedroom house in central Kolkata. Vintage construction with original woodwork and large gardens. Amenities include a private swimming pool and security system. No flooding or earthquake damage reported. Contact listing agent for more information.,"Sarah Johnson, sarahjohnson@example.com, 8765432109",Seller is retiring and downsizing. Offers below asking price will be considered.,"Listed on March 14, 2023, with an initial price of $400000. Several offers have been received, with the highest being $380000. Open houses have been scheduled for the upcoming weekend.","Kolkata, West Bengal, India",$400000
Contemporary,Tropical Wet and Dry,"Flooding, Cyclones",False,202300003,"789, Rabindranath Tagore Road, Kolkata 700033, West Bengal, India",1800,Apartment,2023-03-13,"Spacious 3-bedroom apartment in Kolkata's up-and-coming neighborhood. Contemporary construction with modern appliances and smart home technology. Amenities include a rooftop terrace, yoga studio, and 24-hour concierge. No flooding or earthquake damage reported. Contact listing agent for more information.","Emma Thompson, emmat@example.com, 9876543201",Seller is moving to a larger home and selling this property. Offers above asking price will be considered.,"Listed on March 13, 2023, with an initial price of $500000. Several offers have been received, with the highest being $480000. Open houses have been scheduled for the upcoming weekend.","Kolkata, West Bengal, India",$500000
New,Tropical Monsoon,Occasional Cyclones,None,100001,"123, Park Street, Kolkata-700011",1500,Apartment,2015-06-15,"A spacious 3-bedroom apartment located in the heart of Kolkata, featuring modern interiors and a rooftop garden. Regular maintenance and security ensure peace of mind for residents. Nearby amenities include schools, hospitals, and shopping centers. Contact us for a viewing.",9876543210,"Owned for 5 years, no major issues or repairs needed.",First owner (Mr. A.B. Chetri) purchased in 2010. No major renovations or damages reported.,Central Kolkata,2500000
Renovated,Tropical Monsoon,"Occasional Cyclones, Floods",None,100002,"456, Chittaranjan Avenue, Kolkata-700006",1200,Villa,2018-01-10,"A beautiful 2-story villa in the upscale Chittaranjan area, offering 4 bedrooms and a private garden. Recently renovated with high-quality materials, it includes modern amenities and security features. Close proximity to schools, hospitals, and shopping centers. Contact us for a viewing.",8765432109,"Bought in 2015, underwent extensive renovation in 2017.",Second owner (Mrs. D.K. Banerjee) purchased in 2015. Renovation costs amounted to 1.5 million.,South Kolkata,5000000
Old,Tropical Monsoon,"Occasional Cyclones, Floods",None,100003,"789, Mahatma Gandhi Road, Kolkata-700025",1000,Bungalow,2020-07-22,"A charming 3-bedroom bungalow nestled in a quiet neighborhood, offering ample space and traditional charm. Regular maintenance and security ensure peace of mind for residents. Nearby amenities include schools, hospitals, and shopping centers. Contact us for a viewing.",7894561230,"Owned for 15 years, underwent minor repairs in 2019.",First owner (Mr. S.R. Chakraborty) purchased in 2005. No major renovations or damages reported.,North Kolkata,3000000
New,Tropical Monsoon,"Occasional Cyclones, Floods",None,100004,"321, Rabindranath Tagore Road, Kolkata-700032",1600,Apartment,2019-10-01,"A modern 3-bedroom apartment in the trendy Rabindranath Tagore area, offering ample sunlight and a balcony with city views. High-quality interiors and appliances, as well as 24/7 security. Nearby amenities include schools, hospitals, and shopping centers. Contact us for a viewing.",6543210987,"Owned for 3 years, no major issues or repairs needed.",First owner (Ms. P.S. Ghosh) purchased in 2016. No major renovations or damages reported.,East Kolkata,3500000
Renovated,Tropical Monsoon,"Occasional Cyclones, Floods",None,100005,"654, Netaji Subhas Chandra Bose Road, Kolkata-700008",1800,Villa,2017-05-15,"A stunning 4-bedroom villa in the prestigious Netaji Subhas Chandra Bose area, offering a private garden and a rooftop terrace. Recently renovated with high-quality materials, it includes modern amenities and security features. Close proximity to schools, hospitals, and shopping centers. Contact us for a viewing.",5678901234,"Bought in 2014, underwent extensive renovation in 2016.",Second owner (Mr. R.K. Majumdar) purchased in 2014. Renovation costs amounted to 2 million.,West Kolkata,6000000
Old,Tropical Monsoon,"Occasional Cyclones, Floods",None,100006,"987, Deshapriya Park, Kolkata-700029",1400,Apartment,2021-02-03,"A classic 2-bedroom apartment in the tranquil Deshapriya Park area, offering spacious rooms and a balcony with greenery views. Regular maintenance and security ensure peace of mind for residents. Nearby amenities include schools, hospitals, and shopping centers. Contact us for a viewing.",4567890123,"Owned for 7 years, underwent minor repairs in 2018.",First owner (Ms. T.M. Roy) purchased in 2014. No major renovations or damages reported.,Central Kolkata,4000000
Modern,Tropical Monsoon,None,None,100000002,"123, Park St, Kolkata",1500,Apartment,2015-01-01,"This beautiful 3-bedroom apartment is located in the heart of Kolkata, in a secure gated community. The property features modern construction, high-end finishes, and ample natural light. Enjoy easy access to top schools, hospitals, and shopping centers. Contact us today for a private tour.","9876543210, john.doe@example.com",Seller is motivated to sell and has reduced the price by 5%!,"Sold for 3500000 in 2020, listed again in 2021 for 3600000, now priced at 3450000",Kolkata,3450000
Traditional,Tropical Monsoon,Cyclone Amphan (2020),None,100000003,"456, Chowringhee Rd, Kolkata",2000,Villa,2012-06-15,"This stunning 4-bedroom villa is nestled in a serene residential area, offering privacy and tranquility. The property features traditional Bengali architecture, beautiful gardens, and ample parking space. Despite the recent cyclone, the property remains intact and is ready for immediate occupancy. Contact us for a viewing.","1234567890, jane.doe@example.com",Seller is offering flexible payment terms for quick sale.,"Sold for 4000000 in 2018, listed again in 2021 for 4200000, now priced at 4100000",Kolkata,4100000
Contemporary,Tropical Monsoon,None,None,100000004,"789, Shakespeare Sarani, Kolkata",1200,Studio Apartment,2016-10-01,"This sleek and modern studio apartment is located in the bustling Shakespeare Sarani area. The property boasts contemporary construction, high-end finishes, and a convenient location. Contact us for a private viewing.","9876543210, john.doe@example.com",Seller is open to offers.,"Sold for 2500000 in 2018, listed again in 2021 for 2600000, now priced at 2550000",Kolkata,2550000
Modern Apartment,,,False,200001,"45, New Town Road, Kolkata 700160",1500,Apartment,2016-12-01,"Beautifully designed modern apartment in New Town, Kolkata. Two bedrooms, two bathrooms, open kitchen, and balcony. Secure community with amenities like gym, swimming pool, and 24/7 security. Easy access to schools, hospitals, and shopping malls.","{""Name"": ""John Doe"", ""Phone"": ""+91 9876543210"", ""Email"": ""johndoe@example.com""}",,"Sold: 2019-03-15 for INR 2500000,Rented: 2017-09-01 for INR 20000 per month","New Town, Kolkata",
Traditional House,,,False,200002,"78, Jadavpur Road, Kolkata 700046",2000,House,2017-06-15,"Charming traditional house in Jadavpur, Kolkata. Three bedrooms, three bathrooms, spacious living room, and garden. Renovated with modern amenities while preserving its heritage charm.","{""Name"": ""Jane Smith"", ""Phone"": ""+91 9765432109"", ""Email"": ""janesmith@example.com""}",,"Sold: 2020-02-28 for INR 3000000,Rented: 2018-07-15 for INR 25000 per month","Jadavpur, Kolkata",
Luxury Villa,,,False,200003,"32, Salt Lake Sector V, Kolkata 700091",3000,Villa,2015-08-01,"Luxurious villa in Salt Lake Sector V, Kolkata. Four bedrooms, five bathrooms, private pool, and large backyard. Gated community with top-notch security and facilities like a clubhouse, tennis court, and basketball court.","{""Name"": ""Robert Johnson"", ""Phone"": ""+91 9987654321"", ""Email"": ""robertjohnson@example.com""}",,"Sold: 2019-11-25 for INR 4500000,Rented: 2016-04-01 for INR 35000 per month","Salt Lake Sector V, Kolkata",
High-Rise Apartment,,,False,200004,"56, Park Street, Kolkata 700071",1800,Apartment,2018-03-10,"Spacious high-rise apartment in Park Street, Kolkata. Three bedrooms, three bathrooms, modern kitchen, and balcony. Located in a prime area with easy access to restaurants, shops, and offices.","{""Name"": ""Alice Brown"", ""Phone"": ""+91 9765432109"", ""Email"": ""alicebrown@example.com""}",,"Sold: 2021-07-02 for INR 3500000,Rented: 2019-12-01 for INR 28000 per month","Park Street, Kolkata",
Townhouse,,,False,200005,"101, Ballygunge Circular Road, Kolkata 700019",2200,Townhouse,2014-11-20,"Spacious townhouse in Ballygunge, Kolkata. Four bedrooms, four bathrooms, rooftop terrace, and private garden. Renovated with modern amenities and retaining its traditional charm.","{""Name"": ""Tom Wilson"", ""Phone"": ""+91 9876543210"", ""Email"": ""tomwilson@example.com""}",,"Sold: 2019-06-15 for INR 4000000,Rented: 2017-01-01 for INR 30000 per month","Ballygunge, Kolkata",
Duplex Apartment,,,False,200006,"65, Dhakuria Road, Kolkata 700035",2500,Apartment,2016-07-25,"Large duplex apartment in Dhakuria, Kolkata. Five bedrooms, five bathrooms, private pool, and large balcony. Gated community with security and facilities like a gym, sauna, and library.","{""Name"": ""Emma Johnson"", ""Phone"": ""+91 9987654321"", ""Email"": ""emmajohnson@example.com""}",,"Sold: 2020-12-10 for INR 5000000,Rented: 2018-08-15 for INR 40000 per month","Dhakuria, Kolkata",
Modern Bungalow,,,False,200007,"90, Southern Avenue, Kolkata 700027",3500,Bungalow,2017-02-15,"Luxurious modern bungalow in Southern Avenue, Kolkata. Six bedrooms, seven bathrooms, private pool, and large backyard. Surrounded by greenery and close to schools, hospitals, and shopping malls.","{""Name"": ""David Thompson"", ""Phone"": ""+91 9765432109"", ""Email"": ""davidthompson@example.com""}",,"Sold: 2021-01-20 for INR 6000000,Rented: 2019-06-01 for INR 50000 per month","Southern Avenue, Kolkata",
Modern,Tropical Monsoon,Occasional Floods,,1000002,"201, Rajdanga Road, Kolkata",1200,Apartment,2015-04-15,"Two-bedroom modern apartment in a gated community, fully furnished. Spacious living room, large balcony, and ample storage space. Nearby amenities include schools, hospitals, and shopping centers. Located in a safe neighborhood with 24-hour security. Price negotiable.","+91 9876543210, [seller@example.com](mailto:seller@example.com)",Has had minor flooding during heavy monsoons. No significant damage reported. Maintenance is up to date.,Purchased in 2014 for INR 8 million. Rented for INR 35000 per month until 2020. Current asking price is INR 12 million.,"New Town, Rajarhat",12000000
Brick & Concrete,Hot & Humid,Minor Floods (2017),,1000005,"123, Abhinav Road, Kolkata",1200,Residential,2022-01-01,"A beautifully renovated 3-bedroom apartment in Kolkata's prime location. Newly updated kitchen and bathrooms, ample natural light, and a spacious balcony. Perfect for families or professionals. Contact 9876543210 for more details.",9876543210,The property was last sold in 2012 for INR 8 lakhs. It has seen minor repairs and upgrades since then. No major incidents reported.,"Sold: 2012, INR 8 lakhs
Renovated: 2018
Minor Repairs: 2020",Kolkata,1500000
RCC,Tropical Monsoon,Cyclones,,KL-1016,"45, Park Street, Kolkata",1500,Apartment,2012-06-15,"Newly renovated 3-bedroom apartment in a prime location of Kolkata. Close proximity to schools, hospitals and shopping centers. Fully furnished with modern amenities.",9876543210,Selling due to relocation. Contact agent for viewing.,Sold in 2021 for INR 1.5 Crores. Previous owner held for 5 years. Purchase price INR 80 Lakhs.,South Kolkata,
Brick,Tropical Wet,Floods,,KL-1017,"12, Rabindra Sarani, Kolkata",1200,Villa,2015-07-20,"Luxurious 4-bedroom villa in a gated community. Spacious living room, modern kitchen and landscaped garden. Secure parking and 24-hour security.",7890123456,Selling due to job transfer. Contact agent for viewing.,Sold in 2020 for INR 1.2 Crores. Previous owner held for 3 years. Purchase price INR 85 Lakhs.,New Town,
Steel Frame,Tropical Monsoon,Tornados,,KL-1018,"34, Mahatma Gandhi Road, Kolkata",1800,Penthouse,2017-09-01,"Stylish 5-bedroom penthouse with private pool and terrace. Panoramic city views, high-end finishes and top-notch security. Close proximity to business district and entertainment hubs.",6543210987,Selling due to family reasons. Contact agent for viewing.,Sold in 2022 for INR 2 Crores. Previous owner held for 4 years. Purchase price INR 1.1 Crores.,Salt Lake City,
Modern,Hot and Humid,Occasional Flooding,Minor Risk,KL-1001,"123, Rajah Street, Kolkata",1200,Apartment,2013-01-01,"Spacious 3-bedroom apartment with modern amenities. Located in the heart of Kolkata, close to popular restaurants and shopping areas.",[Agent Name]: [Agent Email]: [Agent Phone],Well-maintained property with no major issues. Seller is a local resident looking to upsize.,First owner: [Name]: 2010-2013. Second owner: [Name]: 2013-present. No major repairs or renovations.,"Kolkata, West Bengal, India",800000
